SALARY GRADE,BASIC PAY,remarks,,,,,,,,,,,,,,,,
SG-1 STEP-1,13530,13774.05,,,,,,,,,,,,,,,,
SG-1 STEP-2,13633,13865.2,,,,,,,,,,,,,,,,
SG-1 STEP-3,13748,13966.98,,,,,,,,,,,,,,,,
SG-1 STEP-4,13862,14067.87,,,,,,,,,,,,,,,,
SG-1 STEP-5,13979,14171.41,,,,,,,,,,,,,,,,
SG-1 STEP-6,14095,14274.07,,,,,,,,,,,,,,,,
SG-1 STEP-7,14213,14378.5,,,,,,,,,,,,,,,,
SG-1 STEP-8,14331,14482.93,,,,,,,,,,,,,,,,
SG-2 STEP-3,14593,14714.8,,,,,,,,,,,,,,,,
SG-2 STEP-7,15047,15116.59,,,,,,,,,,,,,,,,
SG-2 STEP-8,15161,15217.48,,,,,,,,,,,,,,,,
SG-3 STEP-1,15265,15309.52,,,,,,,,,,,,,,,,
SG-3 STEP-2,15384,15414.84,,,,,,,,,,,,,,,,
SG-3 STEP-3,15501,15518.38,,,,,,,,,,,,,,,,
SG-3 STEP-4,15621,15624.58,,,,,,,,,,,,,,,,
SG-3 STEP-5,15741,15730.78,,,,,,,,,,,,,,,,
SG-3 STEP-7,15984,15945.84,,,,,,,,,,,,,,,,
SG-3 STEP-8,16105,16052.92,,,,,,,,,,,,,,,,
SG-4 STEP-1,16209,16144.96,,,,,,,,,,,,,,,,
SG-4 STEP-2,16334,16255.59,,,,,,,,,,,,,,,,
SG-4 STEP-3,16460,16367.1,,,,,,,,,,,,,,,,
SG-4 STEP-4,16586,16478.61,,,,,,,,,,,,,,,,
SG-4 STEP-5,16714,16591.89,,,,,,,,,,,,,,,,
SG-4 STEP-6,16841,16704.28,,,,,,,,,,,,,,,,
SG-4 STEP-7,16971,16819.33,,,,,,,,,,,,,,,,
SG-4 STEP-8,17101,16934.38,,,,,,,,,,,,,,,,
SG-6 STEP-1,18255,17955.67,,,,,,,,,,,,,,,,
SG-6 STEP-2,18396,18080.46,,,,,,,,,,,,,,,,
SG-6 STEP-3,18537,18205.24,,,,,,,,,,,,,,,,
SG-6 STEP-8,19261,18845.98,,,,,,,,,,,,,,,,
SG-7 STEP-1,19365,18938.02,,,,,,,,,,,,,,,,
SG-7 STEP-2,19514,19069.89,,,,,,,,,,,,,,,,
