SALARY GRADE,BASIC PAY,PERA,GSIS CONTRI 9%,PHIL HEALTH 2.5%,PAGIBIG,2024 WTAX,OLD TAX,NET INCREASE,NEW PNETPAY,,,,,,,,,,,,,,,,
SG-1 STEP-1,13530.00,"2,000.00","1,217.70",338.25,200,0.00,0,0,13774.05,,,,,,,,,,,,,,,,
SG-1 STEP-2,13633.00,"2,000.00","1,226.97",340.83,200,0.00,0,0,13865.20,,,,,,,,,,,,,,,,
SG-1 STEP-3,13748.00,"2,000.00","1,237.32",343.7,200,0.00,0,0,13966.98,,,,,,,,,,,,,,,,
SG-1 STEP-4,13862.00,"2,000.00","1,247.58",346.55,200,0.00,0,0,14067.87,,,,,,,,,,,,,,,,
SG-1 STEP-5,13979.00,"2,000.00","1,258.11",349.48,200,0.00,0,0,14171.41,,,,,,,,,,,,,,,,
SG-1 STEP-6,14095.00,"2,000.00","1,268.55",352.38,200,0.00,0,0,14274.07,,,,,,,,,,,,,,,,
SG-1 STEP-7,14213.00,"2,000.00","1,279.17",355.33,200,0.00,0,0,14378.50,,,,,,,,,,,,,,,,
SG-1 STEP-8,14331.00,"2,000.00","1,289.79",358.28,200,0.00,0,0,14482.93,,,,,,,,,,,,,,,,
SG-2 STEP-3,14593.00,"2,000.00","1,313.37",364.83,200,0.00,0,0,14714.80,,,,,,,,,,,,,,,,
SG-2 STEP-7,15047.00,"2,000.00","1,354.23",376.18,200,0.00,0,0,15116.59,,,,,,,,,,,,,,,,
SG-2 STEP-8,15161.00,"2,000.00","1,364.49",379.03,200,0.00,0,0,15217.48,,,,,,,,,,,,,,,,
SG-3 STEP-1,15265.00,"2,000.00","1,373.85",381.63,200,0.00,0,0,15309.52,,,,,,,,,,,,,,,,
SG-3 STEP-2,15384.00,"2,000.00","1,384.56",384.6,200,0.00,0,0,15414.84,,,,,,,,,,,,,,,,
SG-3 STEP-3,15501.00,"2,000.00","1,395.09",387.53,200,0.00,0,0,15518.38,,,,,,,,,,,,,,,,
SG-3 STEP-4,15621.00,"2,000.00","1,405.89",390.53,200,0.00,0,0,15624.58,,,,,,,,,,,,,,,,
SG-3 STEP-5,15741.00,"2,000.00","1,416.69",393.53,200,0.00,0,0,15730.78,,,,,,,,,,,,,,,,
SG-3 STEP-7,15984.00,"2,000.00","1,438.56",399.6,200,0.00,0,0,15945.84,,,,,,,,,,,,,,,,
SG-3 STEP-8,16105.00,"2,000.00","1,449.45",402.63,200,0.00,0,0,16052.92,,,,,,,,,,,,,,,,
SG-4 STEP-1,16209.00,"2,000.00","1,458.81",405.23,200,0.00,0,0,16144.96,,,,,,,,,,,,,,,,
SG-4 STEP-2,16334.00,"2,000.00","1,470.06",408.35,200,0.00,0,0,16255.59,,,,,,,,,,,,,,,,
SG-4 STEP-3,16460.00,"2,000.00","1,481.40",411.5,200,0.00,0,0,16367.10,,,,,,,,,,,,,,,,
SG-4 STEP-4,16586.00,"2,000.00","1,492.74",414.65,200,0.00,0,0,16478.61,,,,,,,,,,,,,,,,
SG-4 STEP-5,16714.00,"2,000.00","1,504.26",417.85,200,0.00,0,0,16591.89,,,,,,,,,,,,,,,,
